# Params: min_volt -0.6 max_volt 0.8 start_volt 0.0 scan_rate 0.1 direction down num_cycles 5
Stimulation voltage (V),Measured current(A)
0.10274725274725283,2.9297345703125047e-06
0.10355311355311358,3.02739072265625e-06
0.10435897435897434,2.8320784179687447e-06
0.10516483516483532,2.9785626464843703e-06
0.10597069597069608,2.7832503417968724e-06
0.10677655677655684,2.9297345703125047e-06
0.1075824175824176,3.173874951171875e-06
0.10838827838827858,2.8809064941406247e-06
0.10919413919413934,2.9785626464843703e-06
0.1100000000000001,2.8809064941406247e-06
0.11080586080586086,3.0762187988281226e-06
0.11161172161172161,3.2227030273437477e-06
0.1124175824175826,3.2227030273437477e-06
0.11322344322344335,3.173874951171875e-06
0.11402930402930411,3.0762187988281226e-06
0.11483516483516487,3.02739072265625e-06
0.11564102564102563,3.2715311035156273e-06
0.11644688644688661,3.0762187988281226e-06
0.11725274725274737,2.8809064941406247e-06
0.11805860805860813,3.0762187988281226e-06
0.11886446886446889,3.173874951171875e-06
0.11967032967032987,3.320359179687493e-06
0.12047619047619063,3.0762187988281226e-06
0.12128205128205138,3.369187255859373e-06
0.12208791208791214,3.173874951171875e-06
0.1228937728937729,3.2227030273437477e-06
0.12369963369963388,3.369187255859373e-06
0.12450549450549464,3.173874951171875e-06
0.1253113553113554,3.369187255859373e-06
0.12611721611721616,3.320359179687493e-06
0.12692307692307692,3.2227030273437477e-06
0.1277289377289379,3.466843408203125e-06
0.12853479853479866,3.2227030273437477e-06
0.12934065934065941,3.2715311035156273e-06
0.13014652014652017,3.2715311035156273e-06
0.13095238095238093,3.369187255859373e-06
0.1317582417582419,3.4180153320312524e-06
0.13256410256410267,3.2227030273437477e-06
0.13336996336996343,3.515671484374998e-06
0.1341758241758242,3.4180153320312524e-06
0.13498168498168517,3.320359179687493e-06
0.13578754578754593,3.5644995605468707e-06
0.13659340659340669,3.2227030273437477e-06
0.13739926739926744,3.710983789062496e-06
0.1382051282051282,3.369187255859373e-06
0.13901098901098918,3.369187255859373e-06
0.13981684981684994,3.515671484374998e-06
0.1406227106227107,3.5644995605468707e-06
0.14142857142857146,3.710983789062496e-06
0.14223443223443222,3.6133276367187503e-06
0.1430402930402932,3.466843408203125e-06
0.14384615384615396,3.8574680175781206e-06
0.14465201465201472,3.515671484374998e-06
0.14545787545787547,3.6133276367187503e-06
0.14626373626373645,3.7598118652343754e-06
0.1470695970695972,3.5644995605468707e-06
0.14787545787545797,3.9062960937500006e-06
0.14868131868131873,3.466843408203125e-06
0.1494871794871795,3.662155712890623e-06
0.15029304029304047,3.662155712890623e-06
0.15109890109890123,3.5644995605468707e-06
0.151904761904762,4.003952246093753e-06
0.15271062271062275,3.5644995605468707e-06
0.1535164835164835,3.9062960937500006e-06
0.15432234432234448,3.710983789062496e-06
0.15512820512820524,3.662155712890623e-06
0.155934065934066,3.8086399414062482e-06
0.15673992673992676,3.662155712890623e-06
0.15754578754578774,3.6133276367187503e-06
0.1583516483516485,3.8086399414062482e-06
0.15915750915750926,3.6133276367187503e-06
0.15996336996337002,4.0527803222656185e-06
0.16076923076923078,3.662155712890623e-06
0.16157509157509176,3.7598118652343754e-06
0.16238095238095251,3.8574680175781206e-06
0.16318681318681327,3.662155712890623e-06
0.16399267399267403,4.199264550781244e-06
0.1647985347985348,3.8574680175781206e-06
0.16560439560439577,3.955124169921874e-06
0.16641025641025653,3.9062960937500006e-06
0.1672161172161173,3.7598118652343754e-06
0.16802197802197805,4.0527803222656185e-06
0.1688278388278388,3.710983789062496e-06
0.16963369963369979,3.9062960937500006e-06
0.17043956043956054,4.003952246093753e-06
0.1712454212454213,3.8086399414062482e-06
0.17205128205128206,3.955124169921874e-06
0.17285714285714304,3.7598118652343754e-06
0.1736630036630038,3.8086399414062482e-06
0.17446886446886456,4.1016083984374985e-06
0.17527472527472532,3.710983789062496e-06
0.17608058608058608,3.9062960937500006e-06
0.17688644688644706,3.8086399414062482e-06
0.17769230769230782,3.955124169921874e-06
0.17849816849816857,4.003952246093753e-06
0.17930402930402933,3.7598118652343754e-06
0.1801098901098901,4.1016083984374985e-06
0.18091575091575107,3.955124169921874e-06
0.18172161172161183,4.0527803222656185e-06
0.1825274725274726,4.1504364746093784e-06
0.18333333333333335,3.7598118652343754e-06
0.18413919413919433,4.003952246093753e-06
0.1849450549450551,3.8086399414062482e-06
0.18575091575091585,3.8574680175781206e-06
0.1865567765567766,4.248092626953124e-06
0.18736263736263736,3.9062960937500006e-06
0.18816849816849834,4.1504364746093784e-06
0.1889743589743591,3.8574680175781206e-06
0.18978021978021986,3.955124169921874e-06
0.19058608058608062,4.1504364746093784e-06
0.19139194139194138,3.369187255859373e-06
0.19219780219780236,4.199264550781244e-06
0.19300366300366312,4.1504364746093784e-06
0.19380952380952388,3.955124169921874e-06
0.19461538461538463,4.0527803222656185e-06
0.19542124542124562,3.8574680175781206e-06
0.19622710622710637,4.003952246093753e-06
0.19703296703296713,4.0527803222656185e-06
0.1978388278388279,4.199264550781244e-06
0.19864468864468865,3.955124169921874e-06
0.19945054945054963,3.7598118652343754e-06
0.2002564102564104,4.0527803222656185e-06
